id,group_id,source_grid_id,target_grid_id,source_grid_x,source_grid_y,target_grid_x,target_grid_y,row_major,img_width,img_height,grid_square_width,verticals,horizontals
0,0,966,244,6,24,4,4,1,640,640,16,40,40
1,1,966,245,6,24,5,5,1,640,640,16,40,40
2,2,644,205,4,16,5,5,1,640,640,16,40,40
3,3,1364,204,4,34,4,4,1,640,640,16,40,40
4,4,1578,206,18,39,6,6,1,640,640,16,40,40
5,5,1526,244,6,38,4,4,1,640,640,16,40,40
6,6,643,246,3,16,6,6,1,640,640,16,40,40
7,7,1190,286,30,29,6,6,1,640,640,16,40,40
8,8,1342,285,22,33,5,5,1,640,640,16,40,40
9,9,1514,284,34,37,4,4,1,640,640,16,40,40
10,10,1518,247,38,37,7,7,1,640,640,16,40,40
11,11,1526,207,6,38,7,7,1,640,640,16,40,40
12,12,767,246,7,19,6,6,1,640,640,16,40,40
13,13,1366,287,6,34,7,7,1,640,640,16,40,40
14,14,1480,326,0,37,6,6,1,640,640,16,40,40
15,15,1126,324,6,28,4,4,1,640,640,16,40,40
16,16,1007,325,7,25,5,5,1,640,640,16,40,40
17,17,967,324,7,24,4,4,1,640,640,16,40,40
18,18,945,651,25,23,11,11,1,640,640,16,40,40
19,18,985,691,25,24,11,11,1,640,640,16,40,40
20,18,1025,731,25,25,11,11,1,640,640,16,40,40
21,18,1065,771,25,26,11,11,1,640,640,16,40,40
22,18,1105,811,25,27,11,11,1,640,640,16,40,40
23,18,1145,851,25,28,11,11,1,640,640,16,40,40
24,19,790,852,30,19,12,12,1,640,640,16,40,40
25,19,830,812,30,20,12,12,1,640,640,16,40,40
26,19,870,772,30,21,12,12,1,640,640,16,40,40
27,19,910,732,30,22,12,12,1,640,640,16,40,40
28,19,950,692,30,23,12,12,1,640,640,16,40,40
29,19,990,652,30,24,12,12,1,640,640,16,40,40
30,20,705,611,25,17,11,11,1,640,640,16,40,40
31,20,706,612,26,17,12,12,1,640,640,16,40,40
32,21,949,327,29,23,7,7,1,640,640,16,40,40
33,22,645,288,5,16,8,8,1,640,640,16,40,40
34,23,1519,328,39,37,8,8,1,640,640,16,40,40
35,24,907,248,27,22,8,8,1,640,640,16,40,40
36,25,1087,208,7,27,8,8,1,640,640,16,40,40
37,26,1006,329,6,25,9,9,1,640,640,16,40,40
38,26,1046,249,6,26,9,9,1,640,640,16,40,40
39,26,1086,209,6,27,9,9,1,640,640,16,40,40
40,26,1126,289,6,28,9,9,1,640,640,16,40,40
41,27,1006,724,6,25,4,4,1,640,640,16,40,40
42,27,1046,644,6,26,4,4,1,640,640,16,40,40
43,27,1086,604,6,27,4,4,1,640,640,16,40,40
44,27,1126,684,6,28,4,4,1,640,640,16,40,40
45,28,1006,764,6,25,4,4,1,640,640,16,40,40
46,28,1046,804,6,26,4,4,1,640,640,16,40,40
47,28,1086,844,6,27,4,4,1,640,640,16,40,40
48,28,1126,884,6,28,4,4,1,640,640,16,40,40
49,29,1006,884,6,25,4,4,1,640,640,16,40,40
50,29,1046,804,6,26,4,4,1,640,640,16,40,40
51,29,1086,764,6,27,4,4,1,640,640,16,40,40
52,29,1126,844,6,28,4,4,1,640,640,16,40,40
53,30,1006,1044,6,25,4,4,1,640,640,16,40,40
54,30,1046,964,6,26,4,4,1,640,640,16,40,40
55,30,1086,924,6,27,4,4,1,640,640,16,40,40
56,30,1126,1004,6,28,4,4,1,640,640,16,40,40
57,31,1428,249,28,35,9,9,1,640,640,16,40,40
58,32,643,364,3,16,4,4,1,640,640,16,40,40
59,33,1445,366,5,36,6,6,1,640,640,16,40,40
60,33,1446,365,6,36,5,5,1,640,640,16,40,40
61,34,1006,365,6,25,5,5,1,640,640,16,40,40
62,35,1490,367,10,37,7,7,1,640,640,16,40,40
63,36,1006,1005,6,25,5,5,1,640,640,16,40,40
64,36,1046,925,6,26,5,5,1,640,640,16,40,40
65,36,1086,885,6,27,5,5,1,640,640,16,40,40
66,36,1126,965,6,28,5,5,1,640,640,16,40,40
67,37,1006,845,6,25,5,5,1,640,640,16,40,40
68,37,1046,765,6,26,5,5,1,640,640,16,40,40
69,37,1086,725,6,27,5,5,1,640,640,16,40,40
70,37,1126,805,6,28,5,5,1,640,640,16,40,40
71,38,1006,685,6,25,5,5,1,640,640,16,40,40
72,38,1046,605,6,26,5,5,1,640,640,16,40,40
73,38,1086,565,6,27,5,5,1,640,640,16,40,40
74,38,1126,645,6,28,5,5,1,640,640,16,40,40
75,39,1006,726,6,25,6,6,1,640,640,16,40,40
76,39,1046,646,6,26,6,6,1,640,640,16,40,40
77,39,1086,606,6,27,6,6,1,640,640,16,40,40
78,39,1126,686,6,28,6,6,1,640,640,16,40,40
79,40,1006,886,6,25,6,6,1,640,640,16,40,40
80,40,1046,806,6,26,6,6,1,640,640,16,40,40
81,40,1086,766,6,27,6,6,1,640,640,16,40,40
82,40,1126,846,6,28,6,6,1,640,640,16,40,40
83,41,1006,1086,6,25,6,6,1,640,640,16,40,40
84,41,1046,1006,6,26,6,6,1,640,640,16,40,40
85,41,1086,966,6,27,6,6,1,640,640,16,40,40
86,41,1126,1046,6,28,6,6,1,640,640,16,40,40
87,42,1006,1046,6,25,6,6,1,640,640,16,40,40
88,42,1046,966,6,26,6,6,1,640,640,16,40,40
89,42,1086,926,6,27,6,6,1,640,640,16,40,40
90,42,1126,1006,6,28,6,6,1,640,640,16,40,40
91,43,1560,1086,0,39,6,6,1,640,640,16,40,40
92,44,1589,1086,29,39,6,6,1,640,640,16,40,40
93,45,1226,1086,26,30,6,6,1,640,640,16,40,40
94,46,827,1084,27,20,4,4,1,640,640,16,40,40
95,47,827,1086,27,20,6,6,1,640,640,16,40,40
96,48,827,1085,27,20,5,5,1,640,640,16,40,40
97,49,1006,1007,6,25,7,7,1,640,640,16,40,40
98,49,1046,927,6,26,7,7,1,640,640,16,40,40
99,49,1086,887,6,27,7,7,1,640,640,16,40,40
100,49,1126,967,6,28,7,7,1,640,640,16,40,40
101,50,1006,847,6,25,7,7,1,640,640,16,40,40
102,50,1046,767,6,26,7,7,1,640,640,16,40,40
103,50,1086,727,6,27,7,7,1,640,640,16,40,40
104,50,1126,807,6,28,7,7,1,640,640,16,40,40
105,51,1006,687,6,25,7,7,1,640,640,16,40,40
106,51,1046,607,6,26,7,7,1,640,640,16,40,40
107,51,1086,567,6,27,7,7,1,640,640,16,40,40
108,51,1126,647,6,28,7,7,1,640,640,16,40,40
109,52,1126,608,6,28,8,8,1,640,640,16,40,40
110,52,1086,688,6,27,8,8,1,640,640,16,40,40
111,52,1046,728,6,26,8,8,1,640,640,16,40,40
112,52,1006,648,6,25,8,8,1,640,640,16,40,40
113,53,1006,888,6,25,8,8,1,640,640,16,40,40
114,53,1046,808,6,26,8,8,1,640,640,16,40,40
115,53,1086,768,6,27,8,8,1,640,640,16,40,40
116,53,1126,848,6,28,8,8,1,640,640,16,40,40
